Номер        Фамилия            Имя       Отчество              Номер тел.              Дата рож.            Пол                         Город                 Паспорт                   ОМС                  ИНН          Доход           Профессия      Наличие кредитов                 СНИЛС         Образование       Соц. класс                    Адрес
80853         Волков           Илья      Донатович            +79415345627             01.13.1977        Мужчина                        Москва             7575_278387           68689649960         481100603194      50.000руб             Инженер            Нет              №783-704-909-57         Аспирантура         Высший            ул.Молостовых_д.19_к.64
97618     Золотарёва          Ирина      Платонова            +79811325158             03.10.1977        Женщина                        Самара             0497_463884           74494236674         582417279302      40.000руб           Ветеринар            Нет              №608-609-903-34        Докторантура         Низший            ул.Соколиная_д.18_к.75
70379        Крылова       Виктория      Тимуровна            +79891880134             05.05.1988        Женщина               Санкт-Петербург             4094_239329           71459233352         369198152990        5000руб             Средний            Нет              №694-466-204-57              Высшее         Низший            ул.Садовая_д.3_к.7
48916   Серебрянская          Ольга       Павловна            +79969867494             08.13.1996        Женщина                       Саратов             6990_524525           92545136492         339860131248      65.000руб             Средний            Нет              №133-489-847-53        Докторантура         Низший            ул.Зубовская_д.16_к.70
69581         Иванов      Станислав     Евгеньевич            +79978020311             28.10.1975        Мужчина                       Саратов             0480_987057           19602875153         306613669902      70.000руб       Администратор            Нет              №700-308-589-88         Аспирантура         Высший            ул.Авиационная_д.8_к.12
85809        Козлова          Ольга      Тимуровна            +79452832328             05.05.1989        Женщина                        Самара             0380_867666           84749967635         887736712336      65.000руб             Средний            Нет              №111-289-907-83         Аспирантура         Высший            ул.Земельная_д.9_к.92
79978     Королькова        Валерия      Тарасовна            +79846873947             12.06.1991        Женщина                        Самара             7594_147497           77282320240         130476157321      15.000руб       Администратор            Нет              №361-127-214-11        Докторантура         Высший            ул.Можайская_д.18_к.1
50187     Королькова          Мария      Платонова            +79657506193             20.13.1990        Женщина                    Красноярск             0488_644903           79725257742         265327941584      30.000руб             Средний           Есть              №490-592-501-20             Среднее         Низший            ул.Есенина_д.13_к.12
82204        Боброва          Ирина     Прохоровна            +79252726121             05.09.1992        Женщина                       Воронеж             7875_675166           54482092310         826642128591      90.000руб       Администратор            Нет              №839-603-726-75              Высшее        Средний            ул.Заводская_д.5_к.42
65195        Соболев        Василий     Евгеньевич            +79271833747             06.11.1986        Мужчина                   Екатерибург             6989_384953           27818377956         920902421107      70.000руб          Стоматолог            Нет              №917-264-997-16        Докторантура         Низший            ул.Автозаводская_д.17_к.46
51985         Павлов           Илья     Богданович            +79311776077             22.05.1987        Мужчина               Нижний Новгород             0476_141678           27212934307         428793777698     100.000руб                Врач           Есть              №346-431-264-32              Высшее         Низший            ул.Земельная_д.5_к.76
48015       Воронцов        Василий     Васильевич            +79601654448             03.06.1983        Мужчина                     Волгоград             4096_923327           65973886260         822744315619      65.000руб            Психолог           Есть              №773-195-662-47         Аспирантура         Низший            ул.Пушкина_д.12_к.60
86727          Орлов    Пантелеймон     Богданович            +79671586080             07.11.1976        Мужчина                        Казань             6978_279036           33978684541         125231663274      95.000руб            Психолог           Есть              №221-545-359-28             Среднее         Высший            ул.Каширская_д.9_к.88
71410         Павлов         Сергей     Васильевич            +79649062321             27.09.1997        Мужчина                       Саратов             7871_279652           40045376115         706505452527      65.000руб          Стоматолог           Есть              №426-771-438-30              Высшее         Высший            ул.Садовая_д.13_к.35
85312         Зайцев       Владимир      Денисович            +79725939144             04.01.1994        Мужчина                Ростов-на-Дону             7580_346257           94701552863         583710573180      70.000руб          Стоматолог           Есть              №620-689-151-94        Докторантура         Низший            ул.Есенина_д.11_к.96
49382         Громов           Олег      Филатович            +79913980447             17.06.1977        Мужчина                        Казань             6978_209851           27952242338         160087987261      30.000руб         Разработчик           Есть              №424-844-531-63         Аспирантура        Средний            ул.Молостовых_д.7_к.95
49158        Крылова          Софья       Романова            +79145398747             25.12.1986        Женщина                          Сочи             4096_495840           89715625233         977916928359      75.000руб           Фармацевт            Нет              №649-155-609-90              Высшее        Средний            ул.Соколиная_д.17_к.17
88262        Лебедев          Фёдор    Григорьевич            +79397234457             07.04.1984        Мужчина                Ростов-на-Дону             0473_301805           43288563874         625708798900      75.000руб                Врач            Нет              №551-549-193-68        Докторантура         Низший            ул.Октябрьская_д.19_к.27
87094         Белова     Александра      Патаповна            +79168740840             24.01.1988        Женщина                   Владивосток             6986_766908           26564271824         164202137994      80.000руб             Средний           Есть              №369-370-856-75              Высшее         Высший            ул.Авиационная_д.9_к.58
55380       Медведев          Фёдор      Филатович            +79127516356             09.03.1994        Мужчина                          Омск             4571_817962           47653760901         977526810366      35.000руб            Психолог            Нет              №325-934-245-83         Аспирантура         Высший            ул.Автозаводская_д.19_к.17
95308     Плотникова          София       Павловна            +79131491046             08.05.1982        Женщина                        Москва             4070_441171           74165656674         502186897959      25.000руб         Программист           Есть              №634-851-876-68              Высшее         Высший            ул.Пушкина_д.9_к.28
57164        Крылова           Вера     Трофимовна            +79929257193             28.02.1997        Женщина                Ростов-на-Дону             4088_170827           63703272201         493826587828      75.000руб            Аналитик           Есть              №437-331-368-71         Аспирантура         Высший            ул.Пушкина_д.4_к.43
65669         Павлов       Владимир       Добрынич            +79201990507             13.13.1975        Мужчина                        Москва             6972_207183           51348433199         534736230470      45.000руб             Дантист            Нет              №224-884-767-81        Докторантура        Средний            ул.Кремлёвская_д.20_к.100
69563        Сидоров           Олег  Вячеславоваич            +79144063480             07.03.1991        Мужчина                       Саратов             4085_508965           38232015047         996309338647      85.000руб           Ветеринар           Есть              №454-463-237-91              Высшее         Низший            ул.Авангардская_д.2_к.22
54516       Воронина      Екатерина     Савельевна            +79362931972             11.08.1985        Женщина                    Красноярск             0497_364866           91905517679         617100557115      80.000руб             Дантист            Нет              №531-451-754-99        Докторантура         Высший            ул.Можайская_д.3_к.31
69089        Князева        Валерия  Станиславовна            +79921198386             07.11.1973        Женщина                       Воронеж             4071_731472           90513996527         690395711501      40.000руб            Психолог            Нет              №756-343-349-38             Среднее         Высший            ул.Автозаводская_д.5_к.11
80995        Алмазов      Владислав     Викторович            +79416057741             03.11.1984        Мужчина                     Краснодар             4682_533359           53677270141         840586425880      85.000руб             Средний           Есть              №110-141-847-67             Среднее        Средний            ул.Арбатская_д.15_к.99
69266        Чернова          Ольга       Павловна            +79462798701             25.09.1995        Женщина                       Воронеж             4696_770997           81931601242         801646245473      95.000руб            Психолог           Есть              №326-597-374-72             Среднее         Низший            ул.Можайская_д.10_к.36
68118        Козлова      Екатерина    Прокопьевна            +79683650818             05.04.1970        Женщина                          Сочи             6980_887591           70196127848         802385267153      30.000руб         Программист            Нет              №755-735-734-92        Докторантура         Высший            ул.Заводская_д.9_к.3
56621          Орлов         Максим     Богданович            +79935857013             01.01.1981        Мужчина                     Волгоград             0391_557987           99482951078         718222636776      45.000руб            Аналитик            Нет              №164-693-810-51             Среднее         Высший            ул.Зубовская_д.19_к.17
66990         Павлов          Фёдор      Андреевич            +79909510279             23.09.1985        Мужчина                          Сочи             7897_805428           78689445585         878447107657      60.000руб         Разработчик           Есть              №112-392-244-27              Высшее         Низший            ул.Зубовская_д.20_к.94
51356        Голубев         Михаил      Федотович            +79194991465             04.02.1979        Мужчина                       Воронеж             6990_775054           73871037953         302418414542      30.000руб                Врач           Есть              №740-699-572-66             Среднее         Низший            ул.Земельная_д.15_к.99
64764   Александрова          Ирина  Святославовна            +79424663254             18.09.1992        Женщина                           Уфа             4692_105654           19679716122         686836823780      40.000руб       Администратор            Нет              №130-937-437-41             Среднее         Высший            ул.Авангардская_д.13_к.79
65317        Козлова        Наталья     Прохоровна            +79581361316             03.13.1976        Женщина                   Екатерибург             4597_568661           71908967139         493988908581      55.000руб         Программист           Есть              №210-948-122-52        Докторантура        Средний            ул.Есенина_д.16_к.4
61701      Мельников        Алексей   Владимирович            +79966797616             20.03.1977        Мужчина                   Екатерибург             0490_143185           57348863127         318073678533      75.000руб           Ветеринар           Есть              №543-198-651-81             Среднее         Низший            ул.Кремлёвская_д.8_к.32
95103     Королькова          София     Руслановна            +79304623875             03.04.1985        Женщина                     Краснодар             4091_448192           54665847578         429217508421      40.000руб             Дантист            Нет              №496-447-958-60        Докторантура         Высший            ул.Автозаводская_д.6_к.48
83856    Виноградова           Вера      Тимуровна            +79333926603             06.05.1982        Женщина                        Казань             0494_564794           68821117474         696254923845      95.000руб            Аналитик           Есть              №139-832-283-74              Высшее        Средний            ул.Арбатская_д.6_к.7
69761        Князева      Маргорита      Патаповна            +79495805930             15.11.1976        Женщина                Ростов-на-Дону             4591_339273           79801745608         217965850229      20.000руб         Программист            Нет              №323-349-231-90             Среднее        Средний            ул.Зубовская_д.13_к.85
66340        Соболев          Фёдор     Кириллович            +79196088552             08.01.1979        Мужчина               Санкт-Петербург             0397_876036           16918689793         696011490472        5000руб             Средний            Нет              №862-502-802-82              Высшее         Высший            ул.Заречная_д.6_к.19
81200       Бочкарёв           Егор     Кириллович            +79158706678             20.04.1980        Мужчина                        Москва             6989_468647           21582831366         545630296059      95.000руб           Фармацевт           Есть              №973-439-521-76             Среднее        Средний            ул.Можайская_д.5_к.93
89023        Алмазов         Степан     Васильевич            +79578533107             28.08.1989        Мужчина                       Саратов             7891_695849           12661031353         330559490188      80.000руб             Средний            Нет              №904-889-271-27              Высшее        Средний            ул.Пушкина_д.11_к.86
55864        Соболев         Виктор      Филатович            +79555622174             13.02.1974        Мужчина                     Краснодар             0491_963894           21511679142         630077977440      95.000руб          Стоматолог            Нет              №783-468-441-73        Докторантура        Средний            ул.Авиационная_д.9_к.69
71099        Сидоров           Егор      Андреевич            +79342210349             07.01.1971        Мужчина                    Новосибирс             7894_611993           54618280032         385152550283        5000руб           Фармацевт            Нет              №360-112-787-85        Докторантура         Высший            ул.Авиационная_д.7_к.61
95958     Золотарёва        Наталья      Тарасовна            +79685856630             04.10.1976        Женщина                       Саратов             6996_150545           19598010201         273614954682      45.000руб             Средний           Есть              №531-458-901-47         Аспирантура         Высший            ул.Зубовская_д.11_к.61
94754  Воскресенская        Валерия     Радионовна            +79347946444             04.04.1996        Женщина                   Владивосток             7578_288039           66466197158         337710502768      90.000руб             Дантист            Нет              №336-141-831-14              Высшее         Низший            ул.Авиационная_д.15_к.67
99673        Крылова        Наталья    Разумникова            +79188562315             20.07.1978        Женщина                          Сочи             6981_317092           30466116755         167510500680      15.000руб            Аналитик           Есть              №103-121-881-13         Аспирантура         Высший            ул.Арбатская_д.14_к.77
84692        Ушакова          Лидия     Радионовна            +79608678431             04.10.1988        Женщина                    Новосибирс             4097_492703           97479861220         525546692411     100.000руб                Врач           Есть              №270-717-898-61        Докторантура         Высший            ул.Зубовская_д.6_к.66
93890        Сидоров         Степан   Владимирович            +79912249864             28.09.1982        Мужчина                       Саратов             7591_592015           36574598027         759858783085      65.000руб             Инженер           Есть              №245-848-859-44        Докторантура        Средний            ул.Авангардская_д.8_к.63
78013       Сахарова          Ольга      Сергеевна            +79378027158             08.13.1994        Женщина                   Владивосток             0474_271990           92915419925         417030120444      55.000руб           Фармацевт            Нет              №123-963-127-27        Докторантура         Низший            ул.Зубовская_д.2_к.65
50753       Воронина          Лидия     Трофимовна            +79238857581             09.01.1996        Женщина                        Тюмень             7592_866116           99537765586         761120776445      40.000руб             Средний           Есть              №959-886-393-37              Высшее         Высший            ул.Соколиная_д.9_к.22
74909   Александрова          Лидия     Степановна            +79449461338             25.06.1973        Женщина                   Владивосток             0381_444265           63894609771         447335851306      15.000руб             Дантист           Есть              №740-639-137-56         Аспирантура         Высший            ул.Заречная_д.5_к.89
85511        Романов        Алексей      Филатович            +79227956515             15.05.1984        Мужчина                          Омск             4682_209572           59144822622         765381460321      80.000руб            Аналитик            Нет              №122-645-355-93              Высшее        Средний            ул.Октябрьская_д.16_к.72
56603        Морозов         Сергей     Васильевич            +79525375936             04.13.1987        Мужчина                    Красноярск             4096_320425           34007411357         210442740362      10.000руб           Фармацевт            Нет              №262-353-725-41             Среднее        Средний            ул.Можайская_д.12_к.78
97384         Иванов         Виктор       Добрынич            +79924203191             25.01.1970        Мужчина               Санкт-Петербург             6980_435594           45926256606         616363502487      75.000руб            Аналитик            Нет              №215-539-190-35             Среднее         Высший            ул.Арбатская_д.10_к.45
46012        Алмазов        Николай      Филатович            +79583044836             01.11.1974        Мужчина                        Самара             0377_893339           99755338229         976465391696      90.000руб           Ветеринар            Нет              №437-151-763-13             Среднее         Низший            ул.Зубовская_д.6_к.62
54621       Петушков        Алексей     Евгеньевич            +79961040671             28.13.1984        Мужчина                          Омск             0473_787827           64873680969         408994121005      60.000руб             Дантист           Есть              №151-802-275-86              Высшее         Низший            ул.Авиационная_д.8_к.91
91019      Богатырёв         Виктор    Григорьевич            +79559740138             23.08.1974        Мужчина                        Казань             0375_732476           96733825495         371821548157      40.000руб         Программист           Есть              №278-945-413-97         Аспирантура         Низший            ул.Земельная_д.1_к.85
54442     Золотарёва        Надежда     Савельевна            +79605595096             09.10.1972        Женщина               Нижний Новгород             4694_458167           56212155903         498361617114      85.000руб             Средний           Есть              №359-808-763-68         Аспирантура         Высший            ул.Есенина_д.10_к.24
64225        Соболев          Фёдор      Федотович            +79512991004             28.13.1991        Мужчина                    Новосибирс             4086_663239           58432105121         521716185296      95.000руб             Средний           Есть              №593-684-505-93             Среднее         Низший            ул.Каширская_д.17_к.86
50627      Мельников    Пантелеймон Константинович            +79193456373             03.12.1972        Мужчина                          Сочи             0472_876965           17834836005         105895907226      60.000руб             Средний           Есть              №603-288-396-76             Среднее         Низший            ул.Заречная_д.13_к.7
72263          Орлов           Егор     Алексеевич            +79588410737             10.01.1982        Мужчина                    Новосибирс             4673_156751           47523809450         686584174610      85.000руб             Дантист            Нет              №942-620-631-52        Докторантура         Высший            ул.Есенина_д.17_к.35
47326         Громов           Олег     Богданович            +79938147554             07.09.1979        Мужчина                   Екатерибург             6996_164359           15168492554         867962864767      90.000руб         Программист           Есть              №565-532-543-78        Докторантура         Низший            ул.Каширская_д.14_к.87
50023       Медведев         Сергей      Андреевич            +79614854904             01.03.1994        Мужчина                     Волгоград             0386_532388           77835557317         807485182724      35.000руб             Средний           Есть              №797-937-866-36         Аспирантура         Низший            ул.Заречная_д.9_к.97
54225      Чеснокова     Александра     Руслановна            +79423297350             06.12.1997        Женщина                     Краснодар             0485_551001           73568071289         876574331768      85.000руб             Средний           Есть              №913-261-401-20              Высшее        Средний            ул.Автозаводская_д.12_к.24
48930       Воронцов           Егор Константинович            +79437698439             16.09.1985        Мужчина                        Казань             0373_955416           45237815716         863750838066      20.000руб         Разработчик           Есть              №565-334-407-41             Среднее         Низший            ул.Земельная_д.12_к.36
64967       Воронина       Виктория      Тимуровна            +79799880245             04.07.1972        Женщина                        Казань             0486_457616           68933993880         258720559445      35.000руб             Средний           Есть              №875-205-967-43              Высшее         Низший            ул.Земельная_д.20_к.55
79963       Воронцов        Василий      Федотович            +79479693040             09.08.1988        Мужчина                          Сочи             4075_940876           33173682050         220255221415      45.000руб         Разработчик           Есть              №695-179-311-71         Аспирантура         Низший            ул.Автозаводская_д.8_к.50
58303         Громов         Андрей      Филатович            +79272160402             22.03.1989        Мужчина                          Сочи             0475_879067           90349567211         910386285103      40.000руб             Средний           Есть              №368-884-261-12             Среднее         Низший            ул.Каширская_д.13_к.89
95627     Плотникова      Елизавета     Руслановна            +79752751401             06.03.1988        Женщина                        Тюмень             6990_712626           60762231679         687599495555      25.000руб          Стоматолог            Нет              №582-489-487-95         Аспирантура        Средний            ул.Молостовых_д.12_к.76
84381        Козлова      Анастасия  Севастьяновна            +79533346467             19.06.1979        Женщина                     Волгоград             7580_798897           78108426521         175156142451      10.000руб            Психолог            Нет              №316-514-278-82        Докторантура        Средний            ул.Октябрьская_д.10_к.97
51040     Золотарёва        Татьяна       Романова            +79508162854             09.13.1973        Женщина                     Волгоград             7891_584951           93715418386         143068779389      85.000руб           Фармацевт           Есть              №568-723-326-49         Аспирантура         Низший            ул.Каширская_д.15_к.23
90946          Орлов          Артём     Богданович            +79751296377             06.09.1981        Мужчина                    Новосибирс             4072_721366           31478350317         463093626235      10.000руб                Врач           Есть              №203-586-112-95        Докторантура        Средний            ул.Кремлёвская_д.11_к.29
68167       Медведев        Алексей       Глебович            +79911958904             24.05.1993        Мужчина                        Самара             0487_758679           80468797434         704782723783      75.000руб            Аналитик            Нет              №204-922-574-59              Высшее         Высший            ул.Октябрьская_д.12_к.86
76824      Чеснокова        Татьяна      Патаповна            +79245442985             28.05.1993        Женщина                        Тюмень             0376_586326           23832906075         433033149302      25.000руб                Врач           Есть              №379-636-407-45        Докторантура         Низший            ул.Соколиная_д.12_к.15
86168       Медведев         Виктор       Добрынич            +79115695311             06.03.1983        Мужчина               Санкт-Петербург             4093_202522           97549014462         290930650306      20.000руб         Разработчик           Есть              №106-138-831-20        Докторантура         Низший            ул.Авиационная_д.13_к.68
76287       Воронцов         Сергей  Вячеславоваич            +79433416621             10.03.1970        Мужчина                    Красноярск             4681_734940           19491778553         227585991267      60.000руб         Разработчик            Нет              №493-564-791-11        Докторантура         Высший            ул.Садовая_д.13_к.38
61491        Сидоров           Олег  Александрович            +79917689265             21.04.1995        Мужчина               Нижний Новгород             0389_392903           33534793310         788492765449      10.000руб            Аналитик           Есть              №335-214-838-17         Аспирантура         Низший            ул.Зубовская_д.5_к.11
98215       Воронина        Надежда     Трофимовна            +79228688587             10.12.1978        Женщина                        Москва             0486_449122           55886114838         505155503020      70.000руб         Программист           Есть              №380-470-405-76         Аспирантура        Средний            ул.Зубовская_д.10_к.32
58857        Телегин           Олег     Аркадьевич            +79901614085             12.05.1979        Мужчина                    Новосибирс             4578_868185           18245188149         671995838496      90.000руб         Программист            Нет              №993-373-311-34        Докторантура         Высший            ул.Авиационная_д.1_к.35
61032      Мельников           Олег    Евстафьевич            +79461011613             15.11.1973        Мужчина                       Саратов             0472_566600           83474607376         293446528186      95.000руб         Разработчик            Нет              №352-670-654-31        Докторантура         Низший            ул.Зубовская_д.4_к.50
97133        Телегин       Владимир  Владиславович            +79376334532             21.07.1984        Мужчина                        Казань             0494_792710           61247006907         324393391552      90.000руб         Разработчик           Есть              №998-179-648-25         Аспирантура         Низший            ул.Можайская_д.19_к.58
89754       Воронина          Ирина     Руслановна            +79585497673             22.05.1983        Женщина                        Казань             7597_891447           30848765878         290198285359      45.000руб             Средний            Нет              №352-380-351-57              Высшее         Низший            ул.Заречная_д.15_к.17
92226      Богатырёв         Степан    Ярославович            +79357776367             06.02.1972        Мужчина                        Тюмень             0471_733119           82879450930         947065120189      80.000руб             Средний            Нет              №366-532-744-20        Докторантура         Низший            ул.Кремлёвская_д.3_к.86
58105       Архипова          Лидия  Севастьяновна            +79437681710             22.09.1997        Женщина                           Уфа             7897_152032           24902788931         851329388997      70.000руб            Психолог           Есть              №459-637-263-99         Аспирантура         Высший            ул.Земельная_д.15_к.15
71679       Петушков           Егор     Алексеевич            +79586381706             11.13.1985        Мужчина                   Владивосток             7874_894019           91102015174         884058715469      80.000руб          Стоматолог            Нет              №366-757-768-17             Среднее        Средний            ул.Пушкина_д.13_к.87
66240     Золотарёва          Дарья      Платонова            +79551400392             06.09.1994        Женщина                          Омск             0496_758905           14622159553         197655263532      30.000руб           Фармацевт            Нет              №820-577-578-15         Аспирантура        Средний            ул.Пушкина_д.18_к.71
83352        Голубев          Фёдор    Евстафьевич            +79724230654             14.12.1971        Мужчина                     Краснодар             0393_753067           66907960486         532507493758     100.000руб           Фармацевт            Нет              №611-221-858-11        Докторантура         Низший            ул.Соколиная_д.14_к.63
78284   Александрова       Виктория     Радионовна            +79697137067             09.04.1996        Женщина                     Волгоград             0493_458890           29517266180         909061334909      60.000руб           Фармацевт            Нет              №681-447-156-73         Аспирантура         Высший            ул.Заречная_д.8_к.85
91764     Королькова      Елизавета       Павловна            +79928141178             25.12.1976        Женщина               Нижний Новгород             0371_189746           71299356240         223464409301      80.000руб             Инженер            Нет              №306-575-573-62              Высшее        Средний            ул.Авангардская_д.9_к.38
92440        Соболев        Алексей  Владиславович            +79464924190             20.10.1991        Мужчина                        Тюмень             7589_912029           83939889838         524590756744      40.000руб             Дантист            Нет              №188-247-616-88        Докторантура         Низший            ул.Есенина_д.7_к.61
52889        Соболев          Антон     Алексеевич            +79857106831             10.07.1984        Мужчина               Нижний Новгород             6995_804022           38035231756         202422440596     100.000руб            Психолог            Нет              №729-162-133-90         Аспирантура         Высший            ул.Земельная_д.12_к.81
48423        Алмазов           Егор      Денисович            +79299111986             26.13.1977        Мужчина                           Уфа             4080_639869           91523453752         444464528942      40.000руб             Дантист            Нет              №535-513-979-41         Аспирантура        Средний            ул.Заводская_д.4_к.31
59253         Громов      Владислав      Андреевич            +79438071396             05.03.1988        Мужчина               Нижний Новгород             0471_644483           71656799470         213775788410      20.000руб         Разработчик            Нет              №489-836-402-78              Высшее        Средний            ул.Можайская_д.7_к.64
64080          Орлов          Антон    Евдакимович            +79143486972             05.05.1985        Мужчина                    Красноярск             4594_744240           52695218475         665161295662        5000руб          Стоматолог            Нет              №309-738-178-95         Аспирантура        Средний            ул.Заводская_д.14_к.51
51465        Лебедев      Владислав    Григорьевич            +79313468111             09.02.1988        Мужчина                          Сочи             0493_193060           15263296750         157077585761      10.000руб             Инженер           Есть              №764-825-625-97        Докторантура         Низший            ул.Каширская_д.16_к.58
90334       Медведев         Сергей    Евдакимович            +79617148401             06.02.1994        Мужчина                           Уфа             4084_517696           51814720524         216103637048      15.000руб            Психолог            Нет              №445-594-448-25              Высшее         Высший            ул.Зубовская_д.16_к.11
82611        Князева        Валерия       Павловна            +79786204895             14.10.1993        Женщина                     Волгоград             4072_193009           12378997594         102500416942      20.000руб             Средний            Нет              №951-993-310-40              Высшее        Средний            ул.Есенина_д.14_к.94
98890         Зайцев         Максим  Иннокентиевич            +79152755228             05.11.1972        Мужчина                          Омск             6978_808644           13199059817         753732324793      60.000руб       Администратор            Нет              №301-644-844-21              Высшее        Средний            ул.Авангардская_д.3_к.14
65243       Воронцов           Илья      Филатович            +79316179516             09.02.1986        Мужчина               Нижний Новгород             4580_690404           24611507854         194934259595     100.000руб             Дантист            Нет              №503-471-880-80        Докторантура         Высший            ул.Пушкина_д.5_к.68
74548         Волков           Олег       Добрынич            +79298108747             26.03.1975        Мужчина                    Новосибирс             4580_492738           29322543615         871201383495      55.000руб             Дантист           Есть              №811-893-543-22         Аспирантура         Высший            ул.Садовая_д.10_к.31
59583    Виноградова      Анастасия    Прокопьевна            +79139825019             25.06.1979        Женщина                        Тюмень             4072_223324           35188144192         400722687343      50.000руб       Администратор            Нет              №553-848-307-35        Докторантура         Низший            ул.Авиационная_д.10_к.90
46647         Зайцев          Антон     Евгеньевич            +79111426885             01.01.1995        Мужчина               Нижний Новгород             4687_751577           22066969510         250031712052      80.000руб         Разработчик           Есть              №940-354-299-98             Среднее        Средний            ул.Автозаводская_д.5_к.62
