Номер        Фамилия            Имя       Отчество              Номер тел.              Дата рож.            Пол                         Город                 Паспорт                   ОМС                  ИНН          Доход           Профессия      Наличие кредитов                 СНИЛС         Образование       Соц. класс         Дети                    Адрес
51696        Морозов          Фёдор      Донатович            +79428224395             01.08.1993        Мужчина                           Уфа             7576_110194           72495715382         249398634072      65.000руб         Программист           Есть              №442-372-458-67              Высшее        Средний           Есть            ул.Арбатская_д.2_к.86
56409     Королькова         Анжела      Тимуровна            +79962788862             19.13.1970        Женщина                Ростов-на-Дону             7893_838056           21684694750         980008571413      75.000руб       Администратор           Есть              №741-678-349-51             Среднее         Низший           Есть            ул.Октябрьская_д.17_к.27
58237         Белова          Ольга  Станиславовна            +79608102703             07.05.1979        Женщина                        Казань             4596_336098           50469355685         142719906710      80.000руб             Средний           Есть              №570-766-904-48         Аспирантура         Низший           Есть            ул.Заводская_д.1_к.88
73049        Князева          Мария      Сергеевна            +79612119332             07.05.1992        Женщина               Нижний Новгород             4592_555016           84897339994         510776106685      85.000руб             Средний           Есть              №268-909-275-34             Среднее        Средний            Нет            ул.Автозаводская_д.1_к.85
74745        Галкина          Мария     Руслановна            +79112978935             26.07.1975        Женщина                          Омск             4591_773470           32288420233         280639216058      40.000руб         Программист           Есть              №248-897-439-17        Докторантура        Средний            Нет            ул.Зубовская_д.10_к.91
55001         Павлов         Никита      Федотович            +79255749962             25.02.1973        Мужчина                    Красноярск             0395_531317           92084395762         540725266501      25.000руб             Дантист           Есть              №547-240-590-23             Среднее        Средний           Есть            ул.Пушкина_д.16_к.83
72801     Плотникова          Лидия     Прохоровна            +79839696024             12.05.1982        Женщина                           Уфа             0472_722804           49461837015         178308359884      45.000руб                Врач           Есть              №548-177-764-38             Среднее         Низший            Нет            ул.Есенина_д.13_к.17
72830       Сахарова      Анастасия      Патаповна            +79823597925             01.05.1972        Женщина                   Екатерибург             0382_819569           92349349243         172108301214        5000руб             Инженер           Есть              №704-240-422-83             Среднее        Средний           Есть            ул.Молостовых_д.6_к.33
46011       Цветаева          Ирина      Тимуровна            +79331440581             22.12.1995        Женщина                        Казань             7879_990614           84725117687         632338364057      30.000руб            Аналитик           Есть              №152-178-866-49         Аспирантура        Средний            Нет            ул.Каширская_д.1_к.45
57170        Алмазов           Илья     Алексеевич            +79658154795             22.03.1972        Мужчина                     Краснодар             4592_520552           89027464735         471725977773      30.000руб             Дантист            Нет              №400-590-409-32         Аспирантура         Высший            Нет            ул.Авангардская_д.15_к.60
88453       Бочкарёв         Андрей    Евстафьевич            +79841251889             15.08.1982        Мужчина                       Саратов             7575_712025           42968050994         142730828676      60.000руб                Врач            Нет              №793-455-264-15              Высшее         Низший           Есть            ул.Можайская_д.14_к.66
86583         Волков      Станислав      Федотович            +79961026715             04.10.1996        Мужчина                        Тюмень             7896_276493           67997470178         540316557937      55.000руб             Инженер           Есть              №728-279-498-73             Среднее         Низший           Есть            ул.Автозаводская_д.14_к.90
83686        Алмазов         Никита    Евстафьевич            +79132452318             26.06.1978        Мужчина                        Казань             7872_434184           55146380009         652221764257      20.000руб             Инженер           Есть              №831-499-150-87             Среднее        Средний           Есть            ул.Авангардская_д.8_к.13
57210         Павлов          Антон    Григорьевич            +79704179863             28.08.1993        Мужчина                        Казань             4590_674328           63715533723         697661729356      90.000руб         Разработчик            Нет              №271-476-675-12         Аспирантура        Средний           Есть            ул.Каширская_д.6_к.9
76196   Серебрянская        Евгения      Сергеевна            +79718444062             08.02.1972        Женщина                   Владивосток             4571_948313           83391836961         252858303091     100.000руб            Психолог           Есть              №391-818-166-67        Докторантура        Средний           Есть            ул.Кремлёвская_д.8_к.35
99317         Павлов      Владислав     Васильевич            +79318301966             05.02.1974        Мужчина                     Волгоград             0372_556296           76138267940         413106397639        5000руб          Стоматолог           Есть              №303-865-506-54              Высшее         Высший            Нет            ул.Автозаводская_д.18_к.100
85393     Плотникова        Валерия     Прохоровна            +79178898331             01.11.1974        Женщина               Санкт-Петербург             4679_518166           14716329682         125362589978     100.000руб       Администратор           Есть              №656-936-431-27             Среднее         Низший           Есть            ул.Авангардская_д.11_к.8
73572        Ушакова          Софья  Севастьяновна            +79999196244             18.03.1980        Женщина                       Воронеж             0376_377944           64289363129         991921176711      50.000руб            Аналитик           Есть              №970-379-638-37              Высшее         Низший           Есть            ул.Кремлёвская_д.18_к.45
97111   Серебрянская      Елизавета    Прокопьевна            +79204634210             01.09.1971        Женщина                        Москва             4085_694850           27104590290         322376506673      90.000руб           Ветеринар           Есть              №228-369-640-74             Среднее         Низший           Есть            ул.Соколиная_д.3_к.39
51313        Лебедев         Никита      Денисович            +79547148429             01.01.1995        Мужчина                       Саратов             4580_677490           99664529720         139653801067      95.000руб         Программист            Нет              №566-764-949-31              Высшее        Средний            Нет            ул.Зубовская_д.1_к.97
61652       Цветаева      Екатерина      Сергеевна            +79869810884             07.06.1995        Женщина                     Волгоград             0479_225646           65701192704         349549672305      40.000руб            Психолог           Есть              №729-558-879-36         Аспирантура         Низший           Есть            ул.Арбатская_д.9_к.21
74780         Ларина          Мария  Святославовна            +79885345539             05.10.1972        Женщина                        Казань             7888_530630           68664773599         622428731031     100.000руб             Дантист            Нет              №736-301-685-19              Высшее        Средний           Есть            ул.Садовая_д.12_к.84
87422    Виноградова      Екатерина     Прохоровна            +79462238184             04.08.1973        Женщина                   Владивосток             4071_842192           41983756757         317306508619      40.000руб            Психолог            Нет              №316-989-399-95             Среднее         Высший           Есть            ул.Земельная_д.6_к.69
58593        Соболев          Фёдор  Иннокентиевич            +79525456929             07.03.1971        Мужчина                        Москва             0484_984200           12667484593         900361738972      95.000руб             Дантист           Есть              №235-192-335-85         Аспирантура        Средний           Есть            ул.Октябрьская_д.15_к.91
59806        Голубев        Алексей     Богданович            +79449329415             19.04.1997        Мужчина                        Самара             4690_835018           95032845231         554179305745      20.000руб          Стоматолог           Есть              №888-324-921-89         Аспирантура         Высший           Есть            ул.Каширская_д.17_к.26
54256         Громов      Владислав     Аркадьевич            +79563331774             01.06.1982        Мужчина                        Казань             0387_957272           90927277614         469512745504      90.000руб          Стоматолог            Нет              №827-770-652-54             Среднее         Высший            Нет            ул.Пушкина_д.13_к.7
59622         Белова          Дарья Сильвесторовна            +79537234735             27.04.1983        Женщина                   Екатерибург             4578_613090           53377291251         548195453738     100.000руб       Администратор            Нет              №231-645-156-96              Высшее         Высший           Есть            ул.Арбатская_д.15_к.14
65273          Орлов         Виктор     Алексеевич            +79674480524             02.08.1972        Мужчина                          Омск             6972_481936           95082248803         204968323932      55.000руб             Средний            Нет              №757-130-481-87        Докторантура         Низший           Есть            ул.Арбатская_д.9_к.62
66574        Алмазов      Станислав     Кириллович            +79784337207             07.11.1974        Мужчина                   Владивосток             7876_326383           27701139182         891021830906      30.000руб           Фармацевт            Нет              №892-719-877-98              Высшее        Средний            Нет            ул.Садовая_д.19_к.38
62089       Суворова          Ирина  Севастьяновна            +79717804081             11.12.1978        Женщина                       Саратов             0483_705539           21926223939         748445171817      60.000руб            Аналитик           Есть              №453-726-329-42         Аспирантура        Средний            Нет            ул.Октябрьская_д.5_к.33
74041      Мельников      Владислав     Евгеньевич            +79922747971             17.09.1975        Мужчина               Нижний Новгород             7571_340910           31573742193         724534576306      85.000руб           Фармацевт            Нет              №408-331-651-44              Высшее        Средний            Нет            ул.Октябрьская_д.9_к.88
90310       Медведев         Никита  Вячеславоваич            +79942903688             12.13.1979        Мужчина                    Новосибирс             4675_729763           54892611332         143665912562      90.000руб             Дантист           Есть              №593-713-700-31              Высшее         Высший            Нет            ул.Автозаводская_д.8_к.2
58190        Алмазов         Степан     Аркадьевич            +79726430614             08.05.1986        Мужчина               Санкт-Петербург             7890_516401           98184754645         981316873410     100.000руб         Разработчик            Нет              №922-121-448-52         Аспирантура         Высший            Нет            ул.Садовая_д.7_к.81
91139       Архипова     Александра      Тарасовна            +79661512081             07.07.1973        Женщина                Ростов-на-Дону             0383_256391           34843274223         330320529170     100.000руб         Программист            Нет              №158-889-590-68              Высшее        Средний           Есть            ул.Заречная_д.14_к.31
87414        Романов           Олег    Евстафьевич            +79748413465             26.12.1996        Мужчина                    Красноярск             0489_123279           48854553034         368682652230      60.000руб            Психолог            Нет              №764-409-721-32        Докторантура         Низший           Есть            ул.Арбатская_д.4_к.51
61589        Романов        Василий  Александрович            +79221494585             28.09.1984        Мужчина                        Самара             7576_652323           38837836084         838651677798      40.000руб       Администратор           Есть              №204-726-882-34         Аспирантура        Средний           Есть            ул.Каширская_д.10_к.1
59017        Романов    Пантелеймон      Андреевич            +79388628958             21.04.1990        Мужчина                        Тюмень             4075_234396           50899656701         613843521730      25.000руб            Психолог           Есть              №599-733-677-67              Высшее         Высший           Есть            ул.Авангардская_д.4_к.84
69224        Романов         Андрей       Добрынич            +79447937335             08.05.1987        Мужчина                        Казань             7878_441431           39011358906         265377368285      20.000руб          Стоматолог            Нет              №429-928-573-19        Докторантура         Низший            Нет            ул.Заводская_д.4_к.41
60298     Королькова          Дарья     Трофимовна            +79762199970             22.10.1972        Женщина                           Уфа             4595_534989           41874845864         676780798635      15.000руб            Аналитик           Есть              №428-253-997-47             Среднее        Средний            Нет            ул.Автозаводская_д.20_к.51
68862       Бочкарёв      Станислав    Евдакимович            +79533929087             25.13.1991        Мужчина               Санкт-Петербург             6991_659224           45006309138         487198572066      85.000руб       Администратор           Есть              №109-394-144-64             Среднее        Средний            Нет            ул.Зубовская_д.12_к.5
85173        Лебедев         Степан       Глебович            +79251894810             18.13.1973        Мужчина                        Москва             6993_743923           20143046859         266039818642      85.000руб         Программист            Нет              №748-804-909-49        Докторантура         Высший           Есть            ул.Соколиная_д.18_к.27
73176       Воронцов           Илья  Вячеславоваич            +79527613408             27.09.1992        Мужчина                        Москва             0490_137411           70601085866         940223847911      95.000руб            Аналитик           Есть              №667-653-504-13        Докторантура         Низший            Нет            ул.Арбатская_д.16_к.73
78597       Петушков         Никита    Евстафьевич            +79682910497             20.07.1988        Мужчина                    Новосибирс             4593_803757           71669084686         717342177752      85.000руб                Врач            Нет              №864-521-361-31         Аспирантура        Средний           Есть            ул.Соколиная_д.7_к.98
72767        Леонова        Надежда     Степановна            +79715308123             08.05.1978        Женщина                     Краснодар             7884_917364           33426623144         379016166101      10.000руб             Дантист           Есть              №758-584-468-23         Аспирантура         Низший           Есть            ул.Земельная_д.16_к.95
92303      Богатырёв      Станислав      Андреевич            +79405427660             23.07.1971        Мужчина                        Москва             4596_340312           38874551600         181519645338      45.000руб                Врач            Нет              №154-553-397-72         Аспирантура         Низший            Нет            ул.Садовая_д.11_к.59
87670       Бочкарёв        Алексей     Васильевич            +79618872116             21.03.1994        Мужчина                    Красноярск             4075_471394           72944435646         765571137025      90.000руб             Средний           Есть              №638-710-883-40              Высшее         Высший           Есть            ул.Земельная_д.17_к.96
52669       Петушков          Фёдор     Васильевич            +79666390822             27.07.1995        Мужчина                       Саратов             6982_545111           61041774075         719012441036      10.000руб         Программист            Нет              №644-988-227-56        Докторантура        Средний           Есть            ул.Зубовская_д.20_к.88
95504        Ушакова          Ирина     Савельевна            +79344347924             02.13.1975        Женщина                     Краснодар             4093_706696           10568087336         512095106975      30.000руб           Фармацевт           Есть              №728-176-938-63              Высшее         Низший           Есть            ул.Садовая_д.6_к.84
87778      Мельников        Алексей      Андреевич            +79571840274             01.08.1986        Мужчина               Санкт-Петербург             4590_298386           83908944881         845602838972      95.000руб            Аналитик           Есть              №835-242-628-16             Среднее        Средний            Нет            ул.Можайская_д.1_к.59
79476       Суворова        Евгения     Савельевна            +79422330209             11.10.1972        Женщина                    Красноярск             4077_188757           11798524377         334697817695      75.000руб         Разработчик            Нет              №266-983-224-53              Высшее         Высший           Есть            ул.Октябрьская_д.19_к.82
80569   Александрова        Наталья      Платонова            +79626095963             26.08.1971        Женщина                          Сочи             4091_100161           32354557568         665783778539      50.000руб                Врач            Нет              №376-206-218-28         Аспирантура         Низший           Есть            ул.Октябрьская_д.3_к.40
78730        Романов          Фёдор  Вячеславоваич            +79176733687             23.05.1975        Мужчина               Нижний Новгород             7588_360469           79828552664         576409718579        5000руб           Фармацевт            Нет              №696-919-242-53        Докторантура         Высший           Есть            ул.Молостовых_д.16_к.63
76142        Телегин       Владимир     Кириллович            +79184811604             09.03.1987        Мужчина                   Екатерибург             0481_676719           68375534639         524207330145      70.000руб           Ветеринар            Нет              №957-463-822-70             Среднее        Средний            Нет            ул.Заречная_д.9_к.73
52518   Александрова          Софья      Тарасовна            +79353638731             06.06.1992        Женщина                          Омск             4590_754450           82348227335         655738899185      60.000руб         Разработчик           Есть              №341-920-153-32             Среднее         Низший           Есть            ул.Молостовых_д.6_к.45
95048       Суворова      Екатерина      Сергеевна            +79722456656             24.05.1981        Женщина                        Тюмень             7878_999583           32583120542         783232735348      10.000руб       Администратор           Есть              №733-232-375-49        Докторантура         Высший           Есть            ул.Пушкина_д.19_к.63
62256        Крылова         Анжела    Прокопьевна            +79208220535             02.03.1980        Женщина                        Тюмень             0397_199275           61662050641         600929406236      40.000руб            Психолог           Есть              №656-500-817-93         Аспирантура        Средний           Есть            ул.Есенина_д.17_к.66
50756      Чеснокова      Елизавета Сильвесторовна            +79914018214             11.10.1993        Женщина                          Сочи             7592_976836           84862304207         781784444103      75.000руб             Дантист           Есть              №258-696-964-37        Докторантура         Низший            Нет            ул.Пушкина_д.11_к.68
77967      Богатырёв          Антон     Аркадьевич            +79211981543             03.05.1983        Мужчина                     Краснодар             6972_285359           47795638156         519256499923      80.000руб       Администратор           Есть              №138-227-974-22              Высшее         Низший           Есть            ул.Заречная_д.5_к.92
70921       Воронина        Валерия  Севастьяновна            +79129761431             01.08.1984        Женщина                    Новосибирс             7887_745148           65446350385         460335419835      25.000руб         Программист            Нет              №363-393-699-97        Докторантура         Низший            Нет            ул.Каширская_д.14_к.33
82658         Ларина          Лидия Сильвесторовна            +79996835577             13.13.1976        Женщина                Ростов-на-Дону             6971_655088           60517216167         312230338269      85.000руб           Ветеринар            Нет              №162-103-708-52              Высшее         Низший            Нет            ул.Заречная_д.12_к.37
61380         Быкова      Екатерина     Степановна            +79576080715             03.09.1972        Женщина                          Сочи             4593_145971           81667963984         560992207633      15.000руб           Ветеринар            Нет              №836-700-514-22        Докторантура         Высший           Есть            ул.Автозаводская_д.4_к.38
67004        Козлова        Наталья       Романова            +79635861642             02.05.1977        Женщина                          Сочи             4573_434608           99921881748         532798904598      95.000руб             Дантист            Нет              №529-641-483-97             Среднее         Высший            Нет            ул.Авангардская_д.11_к.51
94747        Лебедев         Степан    Евдакимович            +79608795512             07.03.1971        Мужчина                     Волгоград             4689_753454           87622348869         321286340329      15.000руб       Администратор           Есть              №707-103-184-98              Высшее         Высший            Нет            ул.Авиационная_д.18_к.12
98321       Воронцов         Максим     Богданович            +79909515518             02.06.1988        Мужчина                        Самара             7575_230279           36364581006         332274460938      70.000руб         Программист            Нет              №333-627-851-92              Высшее         Низший            Нет            ул.Кремлёвская_д.12_к.41
91902        Крылова        Надежда      Семёновна            +79205934162             12.04.1972        Женщина                   Владивосток             4693_842809           10925221326         502946929445      75.000руб             Дантист            Нет              №924-565-857-99         Аспирантура         Низший            Нет            ул.Заречная_д.6_к.25
90682        Сидоров        Алексей     Васильевич            +79886541655             02.10.1997        Мужчина                          Омск             4073_762963           46548033044         769857576649      30.000руб          Стоматолог           Есть              №191-322-472-95         Аспирантура         Высший           Есть            ул.Соколиная_д.4_к.61
47030        Морозов      Станислав     Евгеньевич            +79289920516             01.05.1988        Мужчина                        Казань             0489_874421           68609881073         235729571744      60.000руб                Врач            Нет              №203-902-820-84              Высшее         Низший           Есть            ул.Кремлёвская_д.8_к.78
69581         Белова        Наталья  Станиславовна            +79115015365             12.07.1980        Женщина                        Москва             4592_184892           31496187047         177425860957      15.000руб            Психолог           Есть              №484-154-890-52             Среднее         Низший           Есть            ул.Можайская_д.7_к.15
77838         Волков           Олег  Александрович            +79376143647             17.08.1977        Мужчина                       Саратов             4680_598916           36094194375         944803671776      90.000руб       Администратор            Нет              №431-342-786-10             Среднее        Средний           Есть            ул.Зубовская_д.6_к.22
93187       Медведев         Михаил    Григорьевич            +79183790937             05.13.1984        Мужчина                   Владивосток             4078_883396           56545626714         537892769178     100.000руб       Администратор           Есть              №557-243-232-39         Аспирантура         Низший            Нет            ул.Арбатская_д.13_к.99
89207         Громов      Станислав Константинович            +79233836923             04.01.1979        Мужчина                        Москва             4695_632048           73198368640         644376143782      85.000руб           Ветеринар            Нет              №174-149-355-34        Докторантура        Средний            Нет            ул.Октябрьская_д.14_к.37
73538        Чернова          Дарья     Руслановна            +79642750841             02.11.1997        Женщина                Ростов-на-Дону             7885_616144           45011858702         366935855237      10.000руб             Средний           Есть              №893-971-478-19             Среднее         Низший           Есть            ул.Можайская_д.7_к.52
89825         Павлов         Виктор    Евстафьевич            +79317380780             15.05.1991        Мужчина                   Владивосток             4585_440847           65571237914         561830343750     100.000руб          Стоматолог           Есть              №206-469-340-67        Докторантура         Высший            Нет            ул.Кремлёвская_д.15_к.94
73007         Громов          Артём  Вячеславоваич            +79251558142             23.02.1987        Мужчина               Нижний Новгород             0385_780934           81994504354         597821564955      85.000руб             Инженер            Нет              №746-987-912-75             Среднее        Средний           Есть            ул.Соколиная_д.11_к.27
82146       Бочкарёв         Максим  Вячеславоваич            +79597818823             05.10.1973        Мужчина                          Сочи             7894_792204           80855807647         151876628689      65.000руб                Врач           Есть              №115-189-148-65             Среднее         Высший            Нет            ул.Авангардская_д.20_к.34
64778        Телегин        Василий    Евстафьевич            +79173464894             18.13.1993        Мужчина                   Екатерибург             7597_818502           84362834900         223072581006      85.000руб         Разработчик           Есть              №721-977-862-17             Среднее         Низший            Нет            ул.Соколиная_д.7_к.72
80790        Галкина      Екатерина    Разумникова            +79576402584             24.09.1974        Женщина                       Саратов             7582_634412           45318299788         553539432021      50.000руб                Врач           Есть              №436-875-595-96              Высшее         Низший           Есть            ул.Каширская_д.9_к.9
66909        Леонова      Екатерина     Трофимовна            +79146275760             02.08.1987        Женщина                   Екатерибург             4693_695052           96878457728         970934584193      25.000руб            Аналитик            Нет              №464-953-984-56             Среднее         Высший           Есть            ул.Молостовых_д.14_к.46
47854       Воронцов         Андрей  Владиславович            +79732597066             08.05.1996        Мужчина                   Владивосток             7880_892624           55525564368         513960402695      20.000руб             Инженер            Нет              №260-365-974-60         Аспирантура        Средний           Есть            ул.Садовая_д.6_к.38
79219        Лебедев           Олег     Аркадьевич            +79871227706             23.10.1996        Мужчина                   Екатерибург             7873_474787           69573764591         808549693151      75.000руб           Ветеринар            Нет              №278-911-782-43              Высшее        Средний            Нет            ул.Молостовых_д.12_к.84
88486         Иванов           Олег      Филатович            +79411220957             23.11.1994        Мужчина                           Уфа             0497_472585           49083503758         138674759313      15.000руб         Программист            Нет              №356-477-616-45              Высшее        Средний           Есть            ул.Кремлёвская_д.7_к.5
96727        Сидоров         Виктор     Васильевич            +79145514173             17.09.1976        Мужчина                     Волгоград             6980_547444           88205507112         873557186322      25.000руб         Разработчик           Есть              №470-449-241-29         Аспирантура         Низший           Есть            ул.Авангардская_д.10_к.24
80285        Крылова          Дарья Сильвесторовна            +79757807018             03.05.1974        Женщина                    Красноярск             4084_844597           74322169873         620792980707      90.000руб             Средний            Нет              №308-811-748-81        Докторантура        Средний           Есть            ул.Авангардская_д.2_к.26
51543         Ларина          Ольга    Прокопьевна            +79394445605             09.11.1990        Женщина                    Новосибирс             4577_391969           16221282223         997420583494      60.000руб            Психолог            Нет              №218-257-504-16              Высшее         Высший            Нет            ул.Автозаводская_д.18_к.72
76713        Галкина        Татьяна      Тимуровна            +79139147468             01.08.1996        Женщина                Ростов-на-Дону             4590_595233           86444661406         203920271135      95.000руб       Администратор            Нет              №588-966-843-61        Докторантура         Высший           Есть            ул.Можайская_д.17_к.15
54370        Соболев        Василий Константинович            +79484617902             01.09.1990        Мужчина                     Волгоград             6982_408699           63729337905         440971696317      80.000руб                Врач            Нет              №427-294-547-33        Докторантура        Средний           Есть            ул.Авиационная_д.20_к.50
61938         Павлов          Артём     Васильевич            +79995300259             02.10.1991        Мужчина                   Екатерибург             6994_382062           84421175106         590090211782      80.000руб             Средний           Есть              №925-167-394-93        Докторантура         Низший           Есть            ул.Заречная_д.16_к.78
61221      Богатырёв         Максим    Евдакимович            +79581421119             15.10.1994        Мужчина                        Самара             7585_687211           14062581102         634964313080      60.000руб         Разработчик           Есть              №411-946-412-69         Аспирантура         Низший            Нет            ул.Авангардская_д.15_к.53
71135        Алмазов         Максим     Кириллович            +79886494368             10.03.1984        Мужчина                          Сочи             0472_830680           71217452619         793748212037      10.000руб           Фармацевт            Нет              №555-893-630-14        Докторантура         Низший           Есть            ул.Октябрьская_д.17_к.31
77894        Соболев         Андрей     Аркадьевич            +79526647776             03.11.1979        Мужчина                        Тюмень             7595_934715           43257819308         701968293029      70.000руб             Дантист            Нет              №445-455-970-75         Аспирантура         Высший           Есть            ул.Садовая_д.7_к.36
56716         Белова         Анжела      Тимуровна            +79802993056             20.12.1988        Женщина                   Владивосток             0491_813175           16328486799         883694603423      85.000руб             Средний           Есть              №284-970-204-80             Среднее         Высший            Нет            ул.Арбатская_д.11_к.88
88579       Бочкарёв         Максим     Кириллович            +79892350513             21.04.1974        Мужчина                   Екатерибург             0381_916043           41583158313         709513787219      80.000руб       Администратор            Нет              №669-875-441-96        Докторантура        Средний            Нет            ул.Земельная_д.9_к.58
85093        Князева        Татьяна    Прокопьевна            +79159873681             25.04.1980        Женщина                   Екатерибург             6981_973908           57208808748         646688760501      20.000руб            Аналитик           Есть              №350-277-718-28         Аспирантура         Высший            Нет            ул.Соколиная_д.6_к.18
61141        Лебедев          Антон       Глебович            +79445058008             07.02.1987        Мужчина               Нижний Новгород             4070_642397           52212180206         169473108021      55.000руб           Ветеринар            Нет              №567-215-679-44        Докторантура         Высший            Нет            ул.Автозаводская_д.11_к.8
65502        Алмазов           Илья     Аркадьевич            +79884032035             11.07.1993        Мужчина                           Уфа             4582_665523           11469253234         236076615365      25.000руб             Средний           Есть              №671-768-873-41             Среднее        Средний            Нет            ул.Каширская_д.5_к.60
76812        Боброва        Валерия  Севастьяновна            +79743284940             05.08.1985        Женщина                    Новосибирс             0378_353306           59147616874         296994223256      75.000руб             Средний            Нет              №906-657-833-51              Высшее        Средний           Есть            ул.Земельная_д.20_к.61
57857          Орлов           Егор  Иннокентиевич            +79331195202             18.05.1986        Мужчина               Санкт-Петербург             4572_672559           83615517870         921091604295      90.000руб             Средний           Есть              №117-780-511-68        Докторантура         Высший           Есть            ул.Авангардская_д.18_к.99
51230         Громов         Михаил     Алексеевич            +79485281733             18.08.1972        Мужчина                          Сочи             7570_135284           77453292166         203721249294      20.000руб             Инженер            Нет              №857-411-742-35        Докторантура         Высший            Нет            ул.Можайская_д.14_к.3
